x_grid	y_grid	x_um	y_um	O2	glucose	VEGF	lactate	pH	ECM_density	vascular_density	is_occupied	occupant_cell_id	occupant_type
0	0	5.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5354	4
1	0	15.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
2	0	25.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	3776	1
3	0	35.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
4	0	45.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
5	0	55.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5240	3
6	0	65.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
7	0	75.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5514	4
8	0	85.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
9	0	95.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
10	0	105.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
11	0	115.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	561	4
12	0	125.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4604	2
13	0	135.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
14	0	145.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
15	0	155.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
16	0	165.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
17	0	175.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5417	4
18	0	185.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5465	4
19	0	195.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5403	4
20	0	205.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
21	0	215.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
22	0	225.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5529	4
23	0	235.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	637	4
24	0	245.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	14	4
